90, Portanova, 0 ; 0 || 79 ; 52 || 49 ; 0 || 56 ; 80 || 72 ; 40 || 6 ; 7 || 74 ; 16 || 23 ; 13 || 92 ; 45 || 36 ; 20 || 89 ; 51 || 62 ; 10 || 44 ; 31 || 8 ; 27 || 25 ; 7 || 53 ; 5 || 8 ; 73 || 20 ; 11 || 74 ; 29 || 89 ; 8 || 11 ; 9 || 99 ; 72 || 45 ; 84 || 20 ; 80 || 20 ; 71 || 97 ; 61 || 13.9887 km, 25 min
23, Ebosse, 0 ; 0 || 44 ; 87 || 44 ; 9 || 0 ; 51 || 18 ; 95 || 57 ; 86 || 52 ; 99 || 96 ; 30 || 23 ; 17 || 63 ; 54 || 40 ; 3 || 49 ; 55 || 47 ; 55 || 42 ; 8 || 93 ; 79 || 18 ; 39 || 40 ; 85 || 49 ; 13 || 85 ; 81 || 23 ; 55 || 89 ; 37 || 100 ; 67 || 25 ; 86 || 49 ; 99 || 24 ; 51 || 95 ; 80 || 14.7381 km, 25 min
19, Ehizibue, 0 ; 0 || 82 ; 10 || 59 ; 57 || 15 ; 56 || 49 ; 80 || 85 ; 46 || 75 ; 61 || 24 ; 55 || 60 ; 60 || 26 ; 30 || 1 ; 60 || 2 ; 85 || 83 ; 94 || 32 ; 89 || 87 ; 13 || 71 ; 23 || 74 ; 70 || 38 ; 87 || 2 ; 86 || 53 ; 93 || 7 ; 94 || 59 ; 91 || 56 ; 92 || 36 ; 67 || 92 ; 54 || 10.7206 km, 24 min
77, Consigli, 0 ; 0 || 30 ; 53 || 9 ; 62 || 99 ; 10 || 97 ; 28 || 95 ; 24 || 58 ; 23 || 4 ; 3 || 35 ; 81 || 49 ; 51 || 99 ; 86 || 23 ; 70 || 33 ; 35 || 74 ; 91 || 63 ; 35 || 37 ; 7 || 51 ; 15 || 45 ; 87 || 46 ; 21 || 97 ; 72 || 61 ; 98 || 12 ; 54 || 26 ; 77 || 41 ; 58 || 28 ; 5 || 82 ; 92 || 51 ; 53 || 19 ; 42 || 35 ; 6 || 82 ; 69 || 73 ; 45 || 15.2595 km, 30 min
09, Colombo, 0 ; 0 || 13 ; 19 || 19 ; 33 || 35 ; 75 || 14 ; 25 || 38 ; 52 || 90 ; 29 || 0 ; 68 || 37 ; 83 || 43 ; 67 || 78 ; 6 || 27 ; 93 || 35 ; 58 || 61 ; 83 || 69 ; 42 || 94 ; 80 || 40 ; 69 || 2 ; 73 || 79 ; 81 || 26 ; 74 || 65 ; 78 || 17 ; 38 || 57 ; 54 || 57 ; 25 || 78 ; 38 || 56 ; 85 || 25 ; 70 || 41 ; 94 || 3 ; 63 || 13.0398 km, 28 min
24, Ebuehi, 0 ; 0 || 28 ; 75 || 92 ; 36 || 64 ; 19 || 94 ; 18 || 51 ; 26 || 39 ; 43 || 89 ; 79 || 6 ; 74 || 56 ; 54 || 64 ; 76 || 32 ; 79 || 63 ; 84 || 14 ; 18 || 43 ; 76 || 88 ; 38 || 59 ; 90 || 81 ; 93 || 61 ; 96 || 100 ; 73 || 98 ; 50 || 63 ; 40 || 9.75833 km, 21 min
25, Bandinelli, 0 ; 0 || 98 ; 59 || 39 ; 23 || 67 ; 45 || 51 ; 20 || 44 ; 13 || 86 ; 72 || 63 ; 30 || 57 ; 22 || 96 ; 30 || 86 ; 74 || 57 ; 33 || 37 ; 96 || 96 ; 52 || 15 ; 93 || 24 ; 64 || 28 ; 61 || 10 ; 24 || 14 ; 74 || 87 ; 26 || 32 ; 19 || 8 ; 17 || 10.3082 km, 21 min
11, Lookman, 0 ; 0 || 70 ; 64 || 37 ; 84 || 85 ; 94 || 81 ; 45 || 41 ; 90 || 24 ; 49 || 19 ; 60 || 34 ; 100 || 47 ; 24 || 91 ; 15 || 80 ; 75 || 97 ; 60 || 63 ; 86 || 80 ; 12 || 13 ; 96 || 100 ; 44 || 21 ; 30 || 35 ; 48 || 32 ; 75 || 66 ; 6 || 95 ; 62 || 62 ; 2 || 82 ; 95 || 26 ; 100 || 64 ; 72 || 14.4485 km, 25 min
26, Ngonge, 0 ; 0 || 82 ; 61 || 21 ; 88 || 16 ; 100 || 53 ; 86 || 95 ; 5 || 92 ; 3 || 2 ; 94 || 13 ; 71 || 65 ; 92 || 13 ; 19 || 57 ; 58 || 29 ; 24 || 100 ; 70 || 87 ; 71 || 40 ; 61 || 89 ; 49 || 70 ; 51 || 81 ; 47 || 89 ; 49 || 79 ; 50 || 81 ; 98 || 61 ; 41 || 7 ; 45 || 41 ; 59 || 100 ; 71 || 66 ; 18 || 12.6674 km, 26 min
14, Shomurodov, 0 ; 0 || 74 ; 6 || 89 ; 89 || 83 ; 26 || 89 ; 70 || 62 ; 77 || 11 ; 35 || 64 ; 8 || 61 ; 32 || 13 ; 31 || 51 ; 64 || 99 ; 85 || 43 ; 18 || 47 ; 72 || 74 ; 86 || 47 ; 44 || 56 ; 83 || 72 ; 42 || 64 ; 31 || 0 ; 38 || 35 ; 18 || 21 ; 57 || 50 ; 20 || 39 ; 88 || 6 ; 40 || 10 ; 98 || 9 ; 18 || 16 ; 66 || 4 ; 32 || 14.2922 km, 28 min
